label,value
Jan-16,2200.12
Feb-16,2269.76
Mar-16,2415.53
Apr-16,2335.90
May-16,2304.72
Jun-16,2265.13
Jul-16,2389.49
Aug-16,2515.52
Sep-16,2463.01
Oct-16,2443.23
Nov-16,2556.43
Dec-16,2719.37
Jan-17,2469.43
Feb-17,2615.26
Mar-17,2769.17
Apr-17,2848.87
May-17,2672.77
Jun-17,2265.13
Jul-17,2389.49
